DATE,QUSR628BIS
1970-01-01,60.6814
1970-04-01,60.1257
1970-07-01,60.3941
1970-10-01,60.3387
1971-01-01,61.5203
1971-04-01,62.5095
1971-07-01,62.5172
1971-10-01,63.7092
1972-01-01,63.4358
1972-04-01,64.7155
1972-07-01,65.3731
1972-10-01,66.1722
1973-01-01,68.2377
1973-04-01,68.3403
1973-07-01,68.584
1973-10-01,68.4615
1974-01-01,68.2071
1974-04-01,67.624
1974-07-01,67.389
1974-10-01,65.8316
1975-01-01,66.3771
1975-04-01,67.2427
1975-07-01,67.0171
1975-10-01,67.1941
1976-01-01,64.7576
1976-04-01,66.0027
1976-07-01,66.6189
1976-10-01,68.5931
1977-01-01,70.1698
1977-04-01,71.9248
1977-07-01,73.5014
1977-10-01,74.8367
1978-01-01,76.65
1978-04-01,77.2867
1978-07-01,78.5961
1978-10-01,79.3319
1979-01-01,80.773
1979-04-01,81.5201
1979-07-01,81.7909
1979-10-01,82.4559
1980-01-01,81.0235
1980-04-01,79.0685
1980-07-01,80.0636
1980-10-01,79.6318
1981-01-01,78.9976
1981-04-01,78.1569
1981-07-01,76.7052
1981-10-01,76.5777
1982-01-01,76.2459
1982-04-01,75.2729
1982-07-01,73.9493
1982-10-01,74.3013
1983-01-01,75.1326
1983-04-01,75.2032
1983-07-01,75.3111
1983-10-01,75.6371
1984-01-01,75.6296
1984-04-01,75.8607
1984-07-01,76.1172
1984-10-01,76.0483
1985-01-01,76.5297
1985-04-01,76.8882
1985-07-01,77.4173
1985-10-01,78.2488
1986-01-01,79.6413
1986-04-01,81.3444
1986-07-01,82.5843
1986-10-01,83.4336
1987-01-01,85.2524
1987-04-01,86.0896
1987-07-01,86.9421
1987-10-01,87.9304
1988-01-01,88.7984
1988-04-01,89.9367
1988-07-01,91.256
1988-10-01,92.5778
1989-01-01,93.6124
1989-04-01,93.5733
1989-07-01,94.1373
1989-10-01,94.7279
1990-01-01,94.0502
1990-04-01,93.2186
1990-07-01,91.4427
1990-10-01,89.4855
1991-01-01,88.1239
1991-04-01,88.2351
1991-07-01,87.2432
1991-10-01,86.3059
1992-01-01,85.9164
1992-04-01,85.057
1992-07-01,84.2302
1992-10-01,83.8807
1993-01-01,83.4095
1993-04-01,83.1692
1993-07-01,83.4042
1993-10-01,83.5711
1994-01-01,83.2658
1994-04-01,83.2195
1994-07-01,82.8818
1994-10-01,82.8292
1995-01-01,82.4352
1995-04-01,82.24
1995-07-01,82.61399999999999
1995-10-01,82.6253
1996-01-01,82.5863
1996-04-01,82.3523
1996-07-01,82.3726
1996-10-01,82.2826
1997-01-01,82.4067
1997-04-01,82.9084
1997-07-01,83.6039
1997-10-01,84.5486
1998-01-01,86.0117
1998-04-01,86.7112
1998-07-01,87.9125
1998-10-01,89.2806
1999-01-01,90.3018
1999-04-01,91.2066
1999-07-01,92.4138
1999-10-01,93.8233
2000-01-01,95.1931
2000-04-01,96.6309
2000-07-01,97.9506
2000-10-01,99.6332
2001-01-01,101.0479
2001-04-01,101.7624
2001-07-01,103.559
2001-10-01,105.5555
2002-01-01,107.0951
2002-04-01,108.7006
2002-07-01,111.014
2002-10-01,112.9126
2003-01-01,114.0557
2003-04-01,116.0826
2003-07-01,118.8857
2003-10-01,122.7856
2004-01-01,125.8305
2004-04-01,129.0036
2004-07-01,132.9186
2004-10-01,137.1175
2005-01-01,141.8573
2005-04-01,145.5037
2005-07-01,148.738
2005-10-01,152.0541
2006-01-01,154.0211
2006-04-01,150.3991
2006-07-01,148.3941
2006-10-01,149.6481
2007-01-01,146.69899999999998
2007-04-01,139.716
2007-07-01,135.4663
2007-10-01,130.22899999999998
2008-01-01,123.7026
2008-04-01,115.5133
2008-07-01,109.1051
2008-10-01,106.4901
2009-01-01,103.9323
2009-04-01,102.86399999999999
2009-07-01,102.4796
2009-10-01,102.874
2010-01-01,101.5136
2010-04-01,101.3833
2010-07-01,99.1217
2010-10-01,97.99700000000001
2011-01-01,95.09100000000001
2011-04-01,93.9779
2011-07-01,93.9588
2011-10-01,93.9934
2012-01-01,94.0927
2012-04-01,95.7299
2012-07-01,97.4306
2012-10-01,99.5454
2013-01-01,101.4535
2013-04-01,103.5181
2013-07-01,105.7115
2013-10-01,108.0537
2014-01-01,108.6402
2014-04-01,108.0436
2014-07-01,109.3539
2014-10-01,111.9163
2015-01-01,113.9643
2015-04-01,113.9126
2015-07-01,115.2132
2015-10-01,117.4416
2016-01-01,118.7811
2016-04-01,118.7286
2016-07-01,119.965
2016-10-01,121.5719
2017-01-01,122.2383
2017-04-01,123.3065
2017-07-01,124.7077
2017-10-01,126.2222
2018-01-01,127.0584
2018-04-01,127.2066
2018-07-01,128.0468
2018-10-01,129.2451
2019-01-01,129.7742
2019-04-01,129.4642
2019-07-01,130.6581
2019-10-01,132.3087
2020-01-01,133.6476
2020-04-01,135.4362
2020-07-01,138.2994
2020-10-01,143.1677
2021-01-01,146.1261
2021-04-01,149.5001
2021-07-01,153.558
2021-10-01,157.3409
2022-01-01,160.8385
2022-04-01,160.6834
2022-07-01,157.5028
2022-10-01,157.4051
2023-01-01,157.4829
2023-04-01,157.2887
2023-07-01,159.0537
2023-10-01,160.806
2024-01-01,160.6163
