DATE,hpi,gdp,unemployment,property_price,personal_income,population,permit,new_homes,delinquency,men_married,men_unmarried_divorced,men_unmarried_widowed,women_married,women_unmarried_divorced,women_unmarried_widowed,immigrants,quarter,month,year,weekofyear
1987-01-01,63.965,4722.156,6.6,85.2524,3820.2,241857.0,1690.0,1774.0,1.98951565830569,59039.00000000001,8556.0,2542.0,60001.0,11162.0,10944.0,599889.0,1,1,1987,3
1987-02-01,64.423,4774.2230023308175,6.6,85.76836659411924,3845.0,242005.0,1689.0,1784.0,1.9895239239846008,59039.00000000001,8556.0,2542.0,60001.00000000001,11162.0,10944.0,599889.0,1,2,1987,6
1987-03-01,64.735,4803.592036436256,6.6,86.06096772601748,3863.8,242166.0,1704.0,1726.0,1.9895242925166756,59039.00000000001,8556.0,2542.0,60001.0,11162.0,10944.0,599889.0,1,3,1987,6
1987-04-01,65.131,4806.16,6.3,86.0896,3875.4,242338.0,1601.0,1614.0,1.989516697927847,59039.00000000001,8556.000000000002,2542.0000000000005,60001.00000000001,11162.000000000002,10944.0,599889.0,2,4,1987,2
1987-05-01,65.563,4834.2031833582305,6.3,86.37067147187516,3908.6,242516.0,1500.0,1628.0,1.9895250402945488,59038.99999999999,8556.0,2542.0,60001.0,11162.0,10944.0,599889.0,2,5,1987,4
1987-06-01,66.071,4859.710010747456,6.2,86.63837155967273,3919.7,242706.0,1522.0,1594.0,1.9895255373311251,59039.00000000001,8556.0,2541.9999999999995,60001.0,11162.0,10944.0,599889.0,2,6,1987,0
1987-07-01,66.508,4884.555,6.1,86.9421,3942.1,242908.0,1516.0,1575.0,1.9895181414490306,59038.99999999999,8556.0,2541.9999999999995,60000.99999999999,11162.0,10943.999999999996,599889.0,3,7,1987,2
1987-08-01,66.938,4890.6417139344,6.0,86.92541366251707,3978.6,243118.0,1511.0,1605.0,1.9895267021852465,59039.00000000001,8556.000000000002,2542.0,60001.00000000001,11162.0,10944.0,599889.0,3,8,1987,5
1987-09-01,67.331,4917.855803265528,5.9,87.14353816283885,3995.6,243335.0,1514.0,1695.0,1.9895274003632355,59038.99999999999,8556.0,2542.0,60000.999999999985,11161.999999999998,10943.999999999998,599889.0,3,9,1987,1
1987-10-01,67.73899999999999,5007.994,6.0,87.9304,4034.7,243543.0,1447.0,1515.0,1.9895199546005948,59039.00000000001,8556.000000000002,2542.0,60001.0,11162.000000000002,10944.000000000002,599889.0,4,10,1987,3
1987-11-01,68.108,4942.583843416626,5.8,87.35277610338927,4062.1,243724.0,1457.0,1656.0,1.9895285513909668,59039.000000000015,8556.0,2542.0000000000005,60001.0,11162.000000000002,10944.0,599889.0,4,11,1987,6
